编号,品牌A,品牌B或合作方,年份与关键节点,主要市场,合作类型,最终产物,公开结果（事实）,结果分类,证据性质,结果观测窗口,可借鉴机制或失败解释（分析）,风险与不可直接照搬之处（分析）,仍缺少的证据,重点调研维度,来源1,来源2,核验日期
C11,Louis Vuitton,Supreme,2017,多市场,品牌×品牌／奢侈与街头,箱包、服装、鞋履和配饰胶囊系列,LVMH将其列为2017年关键事件；媒体记录快闪发售热度。,产品机制参考,A｜品牌/企业原始披露,2017活动与年度回顾,奢侈工艺载体与街头标识结合，完成文化身份而非只交换流量。,集团全年增长不能归因于单次联名；二级市场溢价也不是品牌收入。,联名独立收入、毛利、双方客群迁移,品牌地位；文化互补；归因,https://www.lvmh.com/en/publications/2017-record-results,https://www.gq.com/story/louis-vuitton-x-supreme-is-not-cancelled,2026-09-05
C12,Dior,Jordan Brand,2020,多市场,品牌×品牌／奢侈与运动,Air Dior AJ1高低帮鞋、成衣和配饰,官方及发布报道可确认实物系列；本库不采用未经核准的抽签报名数字。,产品机制参考,A｜品牌/企业原始披露,2020发布,以熟悉鞋型承载高级材质与图案语言，创造可收藏的交集。,收藏热度不等于大众适配；稀缺商品的转化漏斗与普通商品不同。,实际售出量、购买去重、利润、对双方主营的影响,产品资产；稀缺；价格,https://www.youtube.com/watch?v=3Lf3bbYcNd4,https://www.vogue.co.jp/fashion/article/2020-06-23-dior,2026-09-05
C13,Swatch,OMEGA,2022,多市场,同集团跨品牌,Bioceramic MoonSwatch腕表,2022年度业绩相关披露记录销量超过100万只。,销售表现有据,B｜可靠媒体/行业机构报道,2022年度披露／2023年初,将高端标志设计转为不同材质与价位的新产品，保留识别性。,同属Swatch集团，授权和利益协调条件不能照搬到独立品牌。,独立利润、高端原线蚕食率、净新增用户,价格梯度；资产借用；集团关系,https://www.fhs.swiss/eng/2023_02_09_01_Swatch_Group.html,https://www.swatch.com/en-en/bioceramic-moonswatch-collection.html,2026-09-05
C14,Swatch,Blancpain,2023,多市场,同集团跨品牌,Bioceramic Scuba Fifty Fathoms机械腕表,官方确认推出系列产品；未找到可直接采用的单独销售与利润数据。,产品机制参考,A｜品牌/企业原始披露,2023首发,以经典潜水表设计和机械结构，向较低门槛产品转译。,不能因MoonSwatch热卖就假设第二次联名同样成功。,实际销量、库存、购买者结构与系列利润,同类先例；技术；价格,https://www.swatchgroup.com/en/services/archive/2023/swatch-bioceramic-scuba-fifty-fathoms,https://www.blancpain.com/en/blancpainxswatch,2026-09-05
C15,LEGO,Star Wars,1999起；2024满25年,多市场,品牌×影视IP,积木套装及延伸游戏、出版和收藏生态,双方2024年官方发布合作25周年纪念内容。,合作延续有据,A｜品牌/企业原始披露,1999—2024,故事世界能持续更新，积木系统可持续重组，适合长期产品体系。,续约是延续证据，不等于每一个套装都赚钱。,各系列生命周期、授权成本、复购与利润,世界观；模块化；生命周期,https://www.lego.com/en-us/aboutus/news/2024/january/lego-star-wars-25-anniversary,https://www.starwars.com/news/lego-star-wars-25th-anniversary,2026-09-05
C16,IKEA,LEGO,2020,多市场,品牌×品牌／功能共创,BYGGLEK带乐高凸点的收纳盒与积木套装,双方官方发布可确认产品与联合设计理念；单品利润未公开。,产品机制参考,A｜品牌/企业原始披露,2020发布,让收纳容器同时成为搭建底座，解决收拾与保留作品之间的冲突。,产品逻辑合理仍需要验证家庭使用频率、尺寸及价格。,长期销量、退货、实际使用、增量利润,共同场景；用户任务；功能融合,https://www.lego.com/en-us/aboutus/news/2020/august/ikea-bygglek,,2026-09-05
C17,adidas,LEGO,2020起,多市场,品牌×品牌／设计与产品系列,LEGO元素运动鞋、服装及儿童产品,2020年官方宣布多年合作；首期包括ZX8000联名鞋。,产品机制参考,A｜品牌/企业原始披露,2020公布范围,把积木的颜色、拼装感和运动产品结合，具有系列扩展空间。,多年协议不等于已证明每期盈利；应区分成人收藏与儿童实穿需求。,实际持续业绩、年龄段转化、授权利润,年龄分层；设计语言；扩展性,https://www.lego.com/en-us/aboutus/news/2020/october/adidas-lego-group-multi-year-partnership,https://www.lego.com/el-gr/aboutus/news/2020/september/adidas-partnership/,2026-09-05
C18,IKEA,Sonos,2019推出；2025宣布结束,多市场,品牌×品牌／技术与家居,SYMFONISK书架音箱、台灯音箱等,有多年产品迭代；2025年双方确认停止新产品合作并逐步售完库存。,风险与混合结果,B｜可靠媒体/行业机构报道,2019—2025,声学系统融入家具，既展示功能互补，也提示联网硬件的退出责任。,合作结束不等于已经证明亏损；既有产品的软件支持与新产品停止须区分。,结束的完整商业原因、项目盈亏、售后长期安排,技术兼容；生命周期；退出,https://www.ikea.com/global/en/newsroom/collaborations/ikea-and-sonos-shine-a-new-light-on-sound-190408/,https://www.theverge.com/news/661491/sonos-ikea-symfonisk-discontinued,2026-09-05
C19,Apple,Nike,2016 Apple Watch Nike+,多市场,品牌×品牌／技术与运动,Apple Watch Nike+、运动表带、跑步软件体验,官方确认硬件、设计和Nike跑步服务整合。,产品机制参考,A｜品牌/企业原始披露,2016发布,让技术能力嵌入跑步习惯，而不是只更换品牌标记。,共同用户规模不能替代共同产品的活跃使用与留存。,联名版增量销售、跑步活跃、双方净收益,使用场景；技术体验；留存,https://www.apple.com/newsroom/2016/09/apple-nike-launch-apple-watch-nike/,,2026-09-05
C20,Apple,Hermès,2015起；2016后续款,多市场,品牌×品牌／技术与奢侈,Apple Watch Hermès、皮革表带和专属表盘,2015推出、2016官方继续发布新款式和颜色。,合作延续有据,A｜品牌/企业原始披露,2015—2016已核对,在同一技术平台上，以工艺与审美为高端客群提供不同购买理由。,技术迭代周期和奢侈品耐久预期可能不同；不能仅按品牌档次评分。,溢价转化、更新周期、联名版独立利润,品牌层级；工艺；生命周期,https://www.apple.com/ml/newsroom/2015/09/09Apple-and-Herm-s-Unveil-the-Apple-Watch-Herm-s-Collection/,https://www.apple.com/hk/en/newsroom/2016/09/07Apple-Watch-Herm-s-Introduces-New-Styles-Colors/,2026-09-05
C21,华为,Leica,2016 P9,多市场,品牌×品牌／技术共研,P9/P9 Plus双摄手机与联合影像体验,华为确认P9为双方联合工程开发产品；媒体转述该系列出货超过1000万台。,销售表现有据,B｜可靠媒体/行业机构报道,2016年底系列出货,把专业摄影能力与手机高频拍摄结合，联名为核心功能服务。,出货不等于终端零售；全系列销量不能全部归因于Leica。,联名影像的独立贡献、消费者偏好实验、合作利润,技术贡献；质量；归因,https://www.huawei.com/en/news/2016/4/huawei-p9-debuts-in-london,https://www.androidauthority.com/huawei-shipped-10-million-p9p9-plus-smartphones-globally-738778/,2026-09-05
C22,Samsung,Thom Browne,2020,韩国等市场,品牌×品牌／设计套装,Galaxy Z Flip Thom Browne版及手表、耳机套装,韩联社援引三星：韩国首发约2.5小时售罄；首批数量未披露。,销售表现有据,B｜可靠媒体/行业机构报道,韩国首发,不是孤立贴标，而是设备、配件与界面的统一生活方式设计。,限量售罄只能证明这批货的供需；不能推断规模利润。,首批数量、总销售额、复购和新增高端客户,设计一致性；价格；供货分母,https://news.samsung.com/global/samsung-and-iconic-fashion-brand-thom-browne-collaborate-on-limited-edition-galaxy-z-flip,https://en.yna.co.kr/view/AEN20200221002800320,2026-09-05
C23,GoPro,Red Bull,2016,多市场,品牌×品牌／内容与战略合作,运动事件影像、联合制作及跨平台分发内容,官方宣布多年内容、分发与创新合作，包含内容权利安排和股权关系。,产品机制参考,A｜品牌/企业原始披露,2016协议范围,一方提供拍摄能力，另一方提供事件与受众，产物是可重复利用的内容资产。,协议可触达的活动数量不等于实际观看或成交；内容使用权要明确。,实际内容产量、增量触达、设备转化和合作成本,资源互补；内容权利；渠道,https://gopro.com/en/sa/news/gopro-and-red-bull-form-exclusive-global-partnership,https://www.prnewswire.com/news-releases/gopro-and-red-bull-form-exclusive-global-partnership-300273533.html,2026-09-05
C24,Starbucks,Spotify,2015宣布；2016落地,美国等,品牌×品牌／数字与门店体验,门店音乐发现、播放列表与Spotify互动,公开报道和星巴克官方音乐页可确认音乐发现与播放列表合作。,产品机制参考,B｜可靠媒体/行业机构报道,2015—2016机制及官方页面,把门店听歌的短暂体验，延长到消费者离店后的数字触点。,播放量未必带来咖啡购买；跨平台数据、同意与归因要单独设计。,使用人数、到店回流、增量订阅与消费,体验延长；数字触点；数据,https://www.thedrum.com/news/starbucks-kicks-action-its-store-music-discovery-venture-spotify,https://www.starbucks.com/rewards/music/,2026-09-05
C25,Coca-Cola,OREO,2024,多市场,品牌×品牌／双向产品,OREO风味无糖可乐、可乐风味OREO饼干及数字互动,双方官方确认双向新品，不只是单向印包装；独立销售效果未披露。,产品机制参考,A｜品牌/企业原始披露,2024发布,让双方都把对方的感官特征变成自己的产品，形成对称的新鲜感。,猎奇口味能驱动尝鲜，但应盲测产品本身能否支撑再次购买。,两款分别的复购、净新增、售罄率和贡献利润,感官互补；双向利益；复购,https://www.coca-colacompany.com/media-center/coca-cola-and-the-oreo-brand-are-teaming-up,https://www.mondelezinternational.com/news/coca-cola-and-the-oreo-brands-become-besties/,2026-09-05
C26,Heinz,Absolut,2023,英国为主,品牌×品牌／配方共创,番茄伏特加意面酱,官方发布限量联名意面酱；本库不把代理商传播成绩视为独立盈利证明。,产品机制参考,A｜品牌/企业原始披露,2023活动期,两个品牌在一道真实菜谱里自然相遇，使用理由先于品牌噱头。,需要核查实际配方、食品标识、价格和复购；不以酒类品牌知名度替代产品测试。,活动净收入、复购与双方成本分配,使用场景；配方；价格,https://theabsolutcompany.com/media-room/press-release/absolut-vodka-partners-with-heinz-to-launch-a-new-limited-edition-pasta-sauce/,https://www.absolut.com/en-gb/campaign/heinz-x-absolut/,2026-09-05
C27,Taco Bell,Doritos,2012起,美国为主,品牌×品牌／核心产品共创,Doritos Locos Tacos风味玉米脆壳；后续反向推出袋装薯片,百事2013年4月披露：自2012年3月上市已售逾3.75亿个Nacho Cheese款。,销售表现有据,A｜品牌/企业原始披露,2012年3月—2013年4月,把对方最有辨识度的味觉资产放进自己主力产品结构。,成功需要配方、生产和店内操作适配；不是任何零食都能直接变外壳。,项目利润、同类产品替代率、授权或分成条款,功能融合；产线；长期需求,https://www.pepsico.com/en/newsroom/press-releases/2013/doritos-locos-tacos-tortilla-chips-hit-the-chip-aisle,https://www.tacobell.com/food/tacos,2026-09-05
C28,KFC,Crocs,2020,部分市场／线上,品牌×品牌／视觉与收藏,炸鸡图案Classic Clog及鸡腿鞋饰,Crocs官方页标示售罄；媒体报道上线不到半小时售罄。,销售表现有据,B｜可靠媒体/行业机构报道,首发半小时,将食物符号转成可穿戴、可展示的幽默消费品。,不能把宣传用夸张高台鞋误认为实际零售款；首批量与利润未知。,首批数量、独立利润、核心客户态度,视觉资产；社交表达；产物核对,https://www.crocs.com/KFC.html,https://www.businessinsider.com/kfc-crocs-sold-out-less-than-half-an-hour-after-launch-2020-7,2026-09-05
C29,McDonald’s,Crocs,2023鞋款；2024玩具,多市场,品牌×品牌／双向周边,角色主题鞋、袜与鞋饰；后续Happy Meal迷你鞋玩具,2023官方推出鞋服周边；2024又出现联名Happy Meal玩具。,合作延续有据,B｜可靠媒体/行业机构报道,2023—2024,同一组资产能在双方不同价格和消费频次的渠道中反向应用。,玩具与鞋履的购买者、毛利和风险不同，不能合并计算转化。,两阶段各自销量、儿童与成人分群、利润,双向渠道；产品阶梯；客群,https://corporate.mcdonalds.com/corpmcd/our-stories/article/mcd-crocs-dropping-global-collab-designedfor-nextlevel-fandom.html,https://abcnews.com/GMA/Food/mcdonalds-teams-crocs-special-happy-meal-toy/story?id=113622182,2026-09-05
C30,Nike SB,Ben & Jerry’s,2020,多市场,品牌×品牌／标志设计共创,Chunky Dunky SB Dunk Low运动鞋,Nike档案可确认设计；媒体记录发售迅速售罄。,销售表现有据,B｜可靠媒体/行业机构报道,2020发售,把冰淇淋包装的奶牛、天空、融化图形转为鞋材和鞋身结构。,转售价格并非品牌直接收入；限量市场不代表可无限扩张需求。,首次零售量、利润、新客占比,品牌图形；材质转译；收藏,https://www.nike.com/launch/t/dna-artifacts-sb-dunk-low-x-ben-jerrys-chunky-dunky,https://abc7ny.com/post/nike-ben-and-jerrys-release-sneaker-the-chunky-dunky/6212345/,2026-09-05
C31,LOEWE,Studio Ghibli,2021—2023三部系列,多市场,品牌×动画IP,《龙猫》《千与千寻》《哈尔的移动城堡》服装、皮具和配饰,LOEWE官方将2023系列称为双方第三个、也是最后一个系列。,合作延续有据,A｜品牌/企业原始披露,2021—2023,把IP细节转化为刺绣、皮革等工艺对象，而非只复制人物印花。,按计划结束系列不应标记为失败；单独财务结果未公开。,各期销售、工艺增量成本、老客与新客比例,工艺；IP转译；计划性退出,https://www.loewe.com/int/en/stories-collection/loewe-howls-moving-castle.html,https://www.teenvogue.com/story/loewe-spirited-away-capsule-collection,2026-09-05
C32,Xbox,Barbie,2023,多市场,品牌×影视IP／数字体验,Forza Horizon 5联名车辆、抽奖定制主机和手柄,Xbox官方公布游戏车辆与赠品合作；定制主机不是常规大规模零售新品。,产品机制参考,A｜品牌/企业原始披露,2023电影宣传期,一个IP可分别映射为游戏内容、实体赠品和传播视觉。,抽奖赠品曝光不能当作主机销售；数字内容需要玩法与用户价值。,内容使用率、游戏新增和留存、增量主机购买,产物分层；数字体验；指标,https://news.xbox.com/en-us/2023/06/26/xbox-barbie/,https://forza.net/news/forza-horizon-5-barbie,2026-09-05
C33,Airbnb,Barbie,2023,美国／全球传播,品牌×影视IP／沉浸体验,以Ken为叙事主角的Malibu DreamHouse限量住宿体验,Airbnb官方推出可预约的电影主题体验；不属于规模化酒店产品。,产品机制参考,A｜品牌/企业原始披露,2023电影宣传期,把抽象世界观变成真实可进入的场景，使少量体验产生内容素材。,体验容量极小，不能用传统客房收入逻辑直接评价活动。,合格触达、搜索与预约增量、制作成本,沉浸场景；稀缺体验；传播归因,https://news.airbnb.com/barbies-malibu-dreamhouse-is-back-on-airbnb-but-this-time-kens-hosting,,2026-09-05
C34,Starbucks,Delta Air Lines,2022推出；2026调整,美国,品牌×品牌／会员互通,关联账户后的消费里程与会员权益,双方2022推出合作；2026年7月官方再次更新权益，8月5日起实施新规则。,合作延续有据,A｜品牌/企业原始披露,2022—2026年8月,用高频消费与低频旅行结合，创造跨场景的持续奖励。,有资格条件；积分成本、关联隐私、用户真实使用不能省略。,账户绑定后的净新增消费、里程成本、留存,会员价值；频次互补；数据,https://www.businesswire.com/news/home/20221012005304/en/Delta-Air-Lines-and-Starbucks-Launch-Loyalty-Partnership,https://about.starbucks.com/press/2026/starbucks-and-delta-bring-back-member-favorite-way-to-earn-miles/,2026-09-05
C35,Sephora,Kohl’s,2021门店落地,美国,渠道与店中店联盟,Sephora at Kohl’s店中店、美妆选品与零售体验,Kohl’s披露2023年该业务销售额超过14亿美元。,销售表现有据,A｜品牌/企业原始披露,2023全年,把专业选品与服务送入现成门店网络，合作产物是持续经营渠道。,该业务热销不代表Kohl’s所有业务表现良好；销售额不是双方利润。,店级增量贡献、改造投资回收、交叉购买,渠道互补；投入回收；分账,https://corporate.kohls.com/news/nqqydduj4u2cv2xihf05p6s1udu4y5,,2026-09-05
C36,Nestlé,Starbucks,2018联盟；2023五周年,多市场,长期品牌授权与渠道联盟,Starbucks胶囊、咖啡豆、研磨及速溶产品和餐饮渠道供给,Nestlé称2022年Starbucks业务带来16亿美元增量销售；为企业使用的口径。,销售表现有据,A｜品牌/企业原始披露,2022业绩；2023披露,品牌与咖啡知识，结合制造、胶囊平台及全球分销能力。,这是长期授权联盟，不是普通限时贴标；增量基准和授权成本须核实。,可比较基线、授权后利润、资本与渠道成本,能力互补；许可；全球分销,https://www.nestle.com/media/news/nestle-starbucks-five-years-global-coffee-alliance,https://www.nestle.com/media/pressreleases/allpressreleases/nestle-starbucks-close-deal-consumer-packaged-goods-foodservice-products,2026-09-05
C37,adidas,Parley for the Oceans,2015起；2020五周年,多市场,品牌×环保组织／材料,采用Parley Ocean Plastic相关材料的鞋服产品,adidas在2020年可持续发展披露中记录双方五年合作。,合作延续有据,A｜品牌/企业原始披露,2015—2020,把材料方案和价值主张嵌入产品，而非只有公益口号。,使用再生材料不自动等于净环境效益；需核查来源、比例及生命周期边界。,可审查环境数据、材料成本、消费者溢价意愿,材料；声明证据；供应链,https://report.adidas-group.com/2020/en/at-a-glance/2020-stories/our-sustainability-initiatives.html,,2026-09-05
C38,adidas,Yeezy／Ye,2013合作；2022终止；2024库存售完,多市场,品牌×设计师品牌,Yeezy鞋服系列,2022年因Ye反犹言论终止；路透2025报道最后库存于2024年第四季度售完。,风险与混合结果,A｜品牌/企业原始披露,2022终止及2024库存结局,前期热销与后期声誉、库存风险可同时存在；核心人物风险可反向传导。,不应写成自始至终销售失败，也不应在2026仍称库存尚未清完。,合作全生命周期净收益、可替代方案与退出成本,声誉传导；集中度；退出,https://www.adidas-group.com/en/media/press-releases/adidas-terminates-partnership-with-ye-immediately,https://www.reuters.com/business/retail-consumer/adidas-sold-last-pair-yeezy-sneakers-2025-03-05/,2026-09-05
C39,adidas,Ivy Park,2019合作；2023结束报道,多市场,品牌×品牌／明星主理,Ivy Park运动休闲服饰、鞋履,WSJ报道2022年销售约4000万美元，对比内部预估2.5亿美元；2023双方分手。,商业受挫,B｜可靠媒体/行业机构报道,2022销售；2023报道,巨大粉丝量与实际购买意愿并非同一个量；预测要落到款式、价格与购买频率。,销售和目标为媒体报道口径；具体因果不能只归结于审美或定价。,完整财务、库存、渠道与消费者拒购原因,需求验证；预测；定价,https://www.wsj.com/articles/adidas-and-beyonce-to-part-ways-after-ivy-park-sales-struggles-1467552,https://www.reuters.com/business/retail-consumer/adidas-ends-partnership-with-beyonce-wsj-2023-03-28/,2026-09-05
C40,Gap,Yeezy,2020宣布；2022终止,美国等,品牌×设计师品牌,Yeezy Gap连帽衫、外套；后期部分系列另含Balenciaga,2022年9月合作破裂；Ye方指称履约问题；10月Gap因言论争议撤下剩余产品。,风险与混合结果,B｜可靠媒体/行业机构报道,2022年9—10月,分销、专属门店、创意控制等治理争议，可以先于后续声誉危机发生。,Ye方违约指称并非已被法院证实的事实；不同时间节点要分开。,合同责任认定、各方实际损失、完整库存处置,合同履约；审批；争议解决,https://www.reuters.com/business/retail-consumer/kanye-west-severs-ties-with-apparel-chain-gap-wsj-2022-09-15/,https://www.reuters.com/business/retail-consumer/gap-remove-yeezy-gap-products-stores-2022-10-25/,2026-09-05
C41,Target,Neiman Marcus,2012,美国,零售商×零售商／多设计师,24位设计师参与的约50款节日礼品，包括家居、配饰与服装,公开报道记录销售低于预期、上市后较快折价清货。,商业受挫,B｜可靠媒体/行业机构报道,2012年末—2013年初,合作名气没有替代具体价格、选品和购物任务；Target顾客未必想买这类高价礼品。,价格与品类错配是基于产品和报道的解释，不应编造单一确定原因。,各SKU售罄、毛利、库存和消费者拒购访谈,客群；品类；价格；库存,https://corporate.target.com/press/release/2012/10/target-and-neiman-marcus-reveal-highly-anticipated-holiday-collection,https://www.retaildive.com/news/neiman-marcus-collection-at-target-misses-its-mark-with-consumers/85742/,2026-09-05
C42,McDonald’s,Krispy Kreme,2022试点；2025年7月2日结束,美国,品牌×品牌／渠道供给,在麦当劳门店销售Krispy Kreme甜甜圈,联合声明：约2400家门店合作；Krispy Kreme未能使成本匹配单店需求，模式难以持续。,商业受挫,A｜品牌/企业原始披露,2025终止公告,渠道互补不保证每方都赚钱；鲜食配送成本与店均销量必须匹配。,麦当劳称达到自身及加盟商预期，不等于供应方盈利；必须双方分别建模。,店均量、配送频次、报损和各方贡献利润,双边经济账；店级需求；物流,https://www.businesswire.com/news/home/20250624271564/en/Krispy-Kreme-and-McDonalds-USA-Announce-Joint-Decision-to-End-Partnership,https://www.reuters.com/legal/transactional/mcdonalds-krispy-kreme-end-us-donut-sale-partnership-costs-mount-2025-06-24/,2026-09-05
C43,Beyond Meat,PepsiCo,2021合资；2022肉干；2024停止,美国,合资产品／品牌联盟,PLANeT Partnership旗下Beyond Meat植物肉干,2024报道公司停止植物肉干产品，作为改善成本及利润率调整的一部分。,商业受挫,B｜可靠媒体/行业机构报道,2022—2024,趋势与渠道资源不是充分条件；复杂制造和产品单位成本可能压过需求。,不应将Beyond Meat整体业绩下滑全部归因于该合作。,产品独立损益、成本构成和消费者复购,产品经济性；制造；复购,https://www.reuters.com/business/retail-consumer/beyond-meat-tops-quarterly-revenue-estimates-2024-02-27/,https://agfundernews.com/critics-are-poisoning-plant-based-well-says-beyond-meat-ceo-as-firm-ditches-jerky-plans-price-increases-in-us,2026-09-05
C44,McDonald’s,Beyond Meat,2021—2022美国试点；2024回顾,美国试点,品牌×品牌／产品研发,美国McPlant植物肉汉堡测试,美国测试结束；2024麦当劳美国负责人称当地消费者需求不足。,商业受挫,B｜可靠媒体/行业机构报道,美国试点及2024回顾,宏观饮食趋势需要落到特定门店客群、具体口味和购买场景。,美国测试结论不可外推为全球McPlant都失败；不同市场应分开。,门店级需求、价格弹性、非购买者反馈,地域；用户需求；试点设计,https://www.businessinsider.com/mcdonalds-mcplant-us-trial-failed-not-enough-demand-beyond-meat-2024-6,https://www.restaurantdive.com/news/McDonalds-ends-its-plant-based-burger-McPlant-test-in-the-US/628380/,2026-09-05
C45,LEGO,Shell,2014宣布不再续约,多市场,品牌×品牌／渠道与促销,Shell标识积木、加油站销售或促销套装,环境组织施压后，LEGO宣布现有合同到期后不再续约。,风险与混合结果,B｜可靠媒体/行业机构报道,2014决策,合作对象的公共争议可通过品牌关联传给自己；需要价值观与声誉情境测试。,这是声誉驱动的退出，不是已证明产品滞销；既有合同并非即刻全部取消。,独立财务损失、长期品牌影响、替代合作价值,价值观；声誉；合同期限,https://www.reuters.com/article/business/lego-to-drop-shell-contract-but-criticises-greenpeace-idUSKCN0HY245/,https://www.greenpeace.org.au/news/lego-ends-50-year-link-with-shell-after-one-million-people-respond-to-save-the-arctic-campaign/,2026-09-05
