id,name,category,summary,offers,needs,intent,audience,identity,constraints,characterSeed
"field-museum","Field Museum","Museum","Field Museum is a museum exploring new forms of collaboration.","Cultural storytelling, exhibition curation and retail space.","Digital interaction, spatial design and event production.","Create cultural exhibitions and digital experiences for new audiences.","Culture lovers, students and families.","Thoughtful, traditional, open.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3795900633"
"afterhours-press","Afterhours Press","Independent publisher","Afterhours Press is a independent publisher exploring new forms of collaboration.","Content production, publishing and cultural storytelling.","Distribution and visual direction.","Publish editorial content and cultural projects with emerging voices.","Designers, readers and culture lovers.","Independent, experimental, thoughtful.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1317741917"
"signal-paper","Signal Paper","Media brand","Signal Paper is a media brand exploring new forms of collaboration.","Content production, publishing and distribution.","Cultural storytelling and visual direction.","Produce editorial content and campaigns about creative work.","Readers, digital creatives and designers.","Open, curious, playful.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1142449825"
"moss-tea","Moss Tea","Tea brand","Moss Tea is a tea brand exploring new forms of collaboration.","Food development, tea sourcing and cultural storytelling.","Packaging, spatial design and event production.","Create food rituals and pop-up retail experiences.","Food lovers, culture lovers and local communities.","Traditional, tactile, thoughtful.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","110091915"
"daybreak-coffee","Daybreak Coffee","Coffee brand","Daybreak Coffee is a coffee brand exploring new forms of collaboration.","Food development, coffee roasting and community building.","Packaging, content production and retail space.","Build food experiences and pop-up retail gatherings.","Food lovers, local communities and creative professionals.","Warm, independent, playful.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","2153709946"
"soft-measure","Soft Measure","Fashion brand","Soft Measure is a fashion brand exploring new forms of collaboration.","Textile development, traditional craft and visual direction.","Material development and distribution.","Develop experimental physical products through limited wearable collections.","Fashion enthusiasts, designers and collectors.","Tactile, experimental, sustainable.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3529409827"
"strata-studio","Strata Studio","Spatial design studio","Strata Studio is a spatial design studio exploring new forms of collaboration.","Spatial design, exhibition curation and prototyping.","Material development and manufacturing.","Create cultural exhibitions and pop-up retail spaces.","Designers, culture lovers and home enthusiasts.","Precise, experimental, thoughtful.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","2399864080"
"little-myth","Little Myth","Cultural IP","Little Myth is a cultural ip exploring new forms of collaboration.","Cultural storytelling, visual direction and content production.","Digital interaction, manufacturing and distribution.","Create playful digital experiences and cultural exhibitions around folklore.","Families, digital creatives and culture lovers.","Traditional, playful, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3280519515"
"neighbourhood","Neighbourhood","Community brand","Neighbourhood is a community brand exploring new forms of collaboration.","Community building, event production and cultural storytelling.","Retail space and content production.","Host pop-up retail gatherings and cultural projects.","Local communities, culture lovers and families.","Warm, open, independent.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","526210331"
"hearth-foods","Hearth Foods","Food brand","Hearth Foods is a food brand exploring new forms of collaboration.","Food development, traditional craft and food sourcing.","Packaging and distribution.","Create food experiences through seasonal tasting menus.","Food lovers, families and local communities.","Traditional, warm, sustainable.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","48288158"
"tiny-assembly","Tiny Assembly","Experimental event studio","Tiny Assembly is a experimental event studio exploring new forms of collaboration.","Event production, digital interaction and spatial design.","Retail space and cultural storytelling.","Create digital experiences and cultural exhibitions.","Digital creatives, culture lovers and technologists.","Experimental, playful, open.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1159597263"
"loop-fibre","Loop Fibre","Textile lab","Loop Fibre is a textile lab exploring new forms of collaboration.","Textile development, sustainable materials and material development.","Product design and manufacturing.","Create experimental physical products using circular textiles.","Fashion enthusiasts, environmentally conscious consumers and makers.","Sustainable, experimental, precise.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1837066885"
"point-practice","Point Practice","Digital experience studio","Point Practice is a digital experience studio exploring new forms of collaboration.","Digital interaction, software development and visual direction.","Cultural storytelling and community building.","Build digital experiences and editorial content.","Digital creatives, technologists and designers.","Futuristic, playful, experimental.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1638816402"
"line-of-work","Line of Work","Logistics company","Line of Work is a logistics company exploring new forms of collaboration.","Distribution, logistics and warehousing.","Software development and production engineering.","Optimize industrial procurement and enterprise freight operations.","Industrial buyers and freight operators.","Practical, precise, conventional.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3726370688"
"bulk-union","Bulk Union","Industrial manufacturer","Bulk Union is a industrial manufacturer exploring new forms of collaboration.","Manufacturing, production engineering and material development.","Product design and software development.","Optimize industrial procurement for large-volume commodity components.","Industrial buyers and procurement teams.","Practical, conventional, precise.","Only accepts industrial orders above 100000 units; no prototypes or limited editions.","1331850568"
"clear-ledger","Clear Ledger","Accounting service","Clear Ledger is a accounting service exploring new forms of collaboration.","Tax reporting, audit preparation and payroll.","Compliance training and bookkeeping automation.","Improve tax compliance and statutory financial reporting.","Accountants and finance departments.","Conventional, formal, risk-averse.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","3055099203"
"wild-north","Wild North","Outdoor community","Wild North is a outdoor community exploring new forms of collaboration.","Community building, event production and content production.","Textile development and distribution.","Host outdoor adventures and wilderness expeditions.","Hikers, outdoor athletes and nature lovers.","Adventurous, sustainable, independent.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1874738116"
"quiet-type","Quiet Type","Sound studio","Quiet Type is a sound studio exploring new forms of collaboration.","Sound design, content production and digital interaction.","Spatial design and cultural storytelling.","Create cultural exhibitions and experimental digital experiences through sound.","Culture lovers, digital creatives and musicians.","Experimental, thoughtful, curious.","Open to pilots and cross-border collaboration. No size or geographic restrictions.","1344486969"
